title,url,vcn
【探索频道】惊天工程 之 伊丽莎白女王号航空母舰【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4977967,35000
【纪录片】走进工厂 之 意面【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av17629188,34000
 【探索频道】惊天工程 之 上海中心大厦【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6340654,34000
【史密森尼】日本武士女王【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5181122,34000
【OSF】猫咪的隐秘生活【1080p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av18754979,33000
【纪录片】走进工厂 之 鞋【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av16344856,33000
【Ch4】紫禁城揭秘【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av17405192,31000
【纪录片】走进工厂 之 焗豆【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av14625514,31000
【国家地理】超级工厂 柯尼塞格【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av8701842,31000
【探索频道】超级运输 第一集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av7493276,31000
【纪录片】宠物岛 1/6【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4310022,31000
【ITV】小汪的秘密 初生的六个月 下集【1080p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av7956346,29000
【纪录片】天堂里的又一天【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5740996,29000
【纪录片】耶路撒冷之圣城由来第三集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5577779,29000
【纪录片】魔法王国【1080p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av20256893,28000
【纪录片】叶芝 - 狂热的心【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av7445198,28000
【国家地理】希腊人 第一集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6314701,28000
【纪录片】地球生灵（原野中的一生）【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5367269,27000
【纪录片】猫咪观察 2【720p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av17664284,26000
【纪录片】从纳粹手中救出的孩子们【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av7731065,26000
【史密森尼】空中勇士 之 F-16战隼【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5235975,26000
【纪录片】十字军东征-时代瞭望之指南【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5148319,26000
【PBS】埃及艳后 遗失的陵墓【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4956982,26000
【纪录片】走进工厂 之 自行车【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av20301046,25000
【纪录片】隐秘王国 第二集 【1080p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av10684528,25000
【探索频道】惊天工程 之 超级大桥【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av7814164,25000
【纪录片】你知道吗 第三集 碳酸饮料和酸奶【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6716261,25000
【历史频道】圣殿骑士团的海盗宝藏第一集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6421500,25000
【纪录片】自然伟力第一集雪花中的宇宙【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5286173,25000
【纪录片】古罗马的瑰宝 第一集 疣及一切【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5053493,25000
野性斯里兰卡 第3集 双语字幕 纪录片之家字幕组,https://www.bilibili.com/video/av4637717,25000
【NHK】福岛辐射森林【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av17913917,23000
【纪录片】维也纳 - 帝国 王朝与梦想第三集【1080p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av16248353,23000
【探索频道】 揭秘图坦卡蒙之墓【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av14745605,23000
【纪录片】三色艺术史 之 蓝色【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av12520177,23000
【纪录片】金属制品之骑士的传说【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5930190,23000
